Azimuth Angle,Radius Location,Drag_X,Drag_Y,Drag_Z,Drag_Mag
0.331613,1.00584,0.718203,-2.07554,0.0371679,2.1966
0.331613,1.6764,1.34406,-3.90027,0.0114705,4.12537
0.331613,2.34696,2.17727,-6.33248,-0.0333386,6.69641
0.331613,3.01752,3.21005,-9.34964,-0.0976715,9.88584
0.331613,3.68808,4.44237,-12.9518,-0.181531,13.6936
0.331613,4.35864,5.87325,-17.1359,-0.284871,18.1167
0.331613,5.0292,7.45833,-21.7726,-0.405264,23.0182
0.331613,5.69976,9.21423,-26.9102,-0.543066,28.4491
0.331613,6.37032,11.2419,-32.8434,-0.704405,34.7213
0.349066,0.33528,0.324183,-0.879396,0.0431755,0.938241
0.349066,1.00584,0.771875,-2.11285,0.0300558,2.24963
0.349066,1.6764,1.43322,-3.93833,-0.00224982,4.19101
0.349066,2.34696,2.30778,-6.35511,-0.0556294,6.76138
0.349066,3.01752,3.38918,-9.34576,-0.130339,9.94217
0.349066,3.68808,4.68377,-12.9278,-0.226689,13.752
0.349066,4.35864,6.18331,-17.0785,-0.34436,18.1667
0.349066,5.0292,7.83661,-21.6565,-0.480153,23.0357
0.349066,5.69976,9.66543,-26.7215,-0.634783,28.4229
0.349066,6.37032,11.7778,-32.5725,-0.815521,34.646
0.366519,0.33528,0.351816,-0.906517,0.0403321,0.973228
0.366519,1.00584,0.826806,-2.14827,0.022723,2.302
0.366519,1.6764,1.52378,-3.97359,-0.0161741,4.25577
0.366519,2.34696,2.43924,-6.37377,-0.0779999,6.82502
0.366519,3.01752,3.57291,-9.34817,-0.163088,10.009
0.366519,3.68808,4.9298,-12.9099,-0.271843,13.8218
0.366519,4.35864,6.49239,-17.0132,-0.403341,18.2144
0.366519,5.0292,8.21228,-21.531,-0.554122,23.0507
0.366519,5.69976,10.112,-26.5224,-0.725075,28.3939
0.366519,6.37032,12.3061,-32.2876,-0.924586,34.5656
0.383972,0.33528,0.380459,-0.932886,0.0373275,1.00818
0.383972,1.00584,0.882922,-2.18173,0.0151838,2.35367
0.383972,1.6764,1.61565,-4.00599,-0.0302827,4.31963
0.383972,2.34696,2.57156,-6.38845,-0.100424,6.88733
0.383972,3.01752,3.76119,-9.35537,-0.195977,10.085
0.383972,3.68808,5.17612,-12.8859,-0.316787,13.8902
0.383972,4.35864,6.80028,-16.9399,-0.461766,18.2598
0.383972,5.0292,8.58512,-21.3965,-0.627119,23.0631
0.383972,5.69976,10.5537,-26.3128,-0.813889,28.3621
0.383972,6.37032,12.8263,-31.989,-1.03152,34.4801
0.401426,0.33528,0.41169,-0.962207,0.0343006,1.04714
0.401426,1.00584,0.940146,-2.21318,0.00745296,2.4046
0.401426,1.6764,1.70873,-4.03547,-0.044556,4.38255
0.401426,2.34696,2.71061,-6.41335,-0.123149,6.96374
0.401426,3.01752,3.95033,-9.3576,-0.228838,10.1598
0.401426,3.68808,5.4226,-12.8557,-0.361487,13.9572
0.401426,4.35864,7.10681,-16.8588,-0.519591,18.3029
0.401426,5.0292,8.95492,-21.2529,-0.699096,23.073
0.401426,5.69976,10.9903,-26.0932,-0.901173,28.3276
0.401426,6.37032,13.3502,-31.7056,-1.13727,34.4205
0.418879,0.33528,0.443889,-0.990371,0.0310811,1.08574
0.418879,1.00584,1.00086,-2.24806,-0.000455499,2.46079
0.418879,1.6764,1.80293,-4.062,-0.0589739,4.44453
0.418879,2.34696,2.85094,-6.4344,-0.145979,7.03923
0.418879,3.01752,4.14022,-9.35481,-0.261641,10.2334
0.418879,3.68808,5.66909,-12.8194,-0.405906,14.0229
