Azimuth Angle,Flap,FlapRate,FlapAcceleration,PitchLinkMoment
4.92183,-0.0901299,3.27825,22.3436,48.7914
4.93928,-0.087398,3.29687,21.0671,49.3358
4.95674,-0.0846506,3.31443,19.7756,49.8814
4.97419,-0.0818886,3.33091,18.4694,50.4276
4.99164,-0.0791128,3.3463,17.1484,50.9694
5.00909,-0.0763242,3.36059,15.8135,51.498
5.02655,-0.0735237,3.37377,14.4649,52.0251
5.044,-0.0707123,3.38582,13.1029,52.5499
5.06145,-0.0678908,3.39674,11.7279,53.0717
5.07891,-0.0650601,3.40651,10.3403,53.5902
5.09636,-0.0622214,3.41513,8.94044,54.1042
5.11381,-0.0593754,3.42258,7.52857,54.6126
5.13127,-0.0565233,3.42885,6.10503,55.1147
5.14872,-0.0536659,3.43394,4.67016,55.6093
5.16617,-0.0508043,3.43783,3.22476,56.0901
5.18363,-0.0479394,3.44052,1.76862,56.5592
5.20108,-0.0450723,3.44199,0.301272,57.0119
5.21853,-0.042204,3.44224,-1.17631,57.4509
5.23599,-0.0393355,3.44126,-2.66604,57.8622
5.25344,-0.0364678,3.43904,-4.1676,58.2407
5.27089,-0.0336019,3.43557,-5.67893,58.5973
5.28835,-0.0307389,3.43084,-7.19972,58.9294
5.3058,-0.0278799,3.42484,-8.72971,59.2344
5.32325,-0.0250259,3.41756,-10.2651,59.5281
5.34071,-0.0221779,3.40901,-11.8079,59.7921
5.35816,-0.019337,3.39917,-13.3584,60.0229
5.37561,-0.0165044,3.38804,-14.9228,60.1829
5.39307,-0.013681,3.3756,-16.4951,60.2997
5.41052,-0.010868,3.36185,-18.0758,60.3636
5.42797,-0.00806649,3.34679,-19.6639,60.3787
5.44543,-0.0052775,3.3304,-21.26,60.3325
5.46288,-0.00250216,3.31269,-22.8641,60.2277
5.48033,0.000258409,3.29363,-24.4791,60.0373
5.49779,0.0030031,3.27324,-26.1485,59.5887
5.51524,0.0057308,3.25144,-27.8917,58.7987
5.53269,0.00844034,3.2282,-29.6546,57.8744
5.55015,0.0111305,3.20349,-31.5249,56.4148
5.5676,0.0138001,3.17722,-33.4171,54.784
5.58505,0.0164478,3.14937,-35.3715,52.7782
5.60251,0.0190722,3.1199,-37.3865,50.402
5.61996,0.0216722,3.08874,-39.4264,47.8321
5.63741,0.0242461,3.05588,-41.5316,44.8223
5.65487,0.0267927,3.02127,-43.6858,41.4644
5.67232,0.0293104,2.98487,-45.8736,37.8124
5.68977,0.0317978,2.94664,-48.1022,34.0123
5.70723,0.0342533,2.90656,-50.376,30.0219
5.72468,0.0366755,2.86458,-52.6768,25.9113
5.74213,0.0390626,2.82068,-55.0033,21.7279
5.75959,0.0414132,2.77484,-57.3743,17.266
5.77704,0.0437255,2.72703,-59.7934,12.4885
5.79449,0.0459981,2.6772,-62.2511,7.44773
5.81195,0.0482291,2.62533,-64.6186,2.67525
5.8294,0.0504168,2.57148,-66.6757,-0.94004
5.84685,0.0525597,2.51592,-68.5578,-3.83293
5.86431,0.0546563,2.45878,-70.3586,-6.37412
5.88176,0.0567053,2.40015,-72.1317,-8.87872
5.89921,0.0587054,2.34004,-73.8537,-11.1488
5.91667,0.0606555,2.2785,-75.4743,-13.002
5.93412,0.0625542,2.2156,-76.9337,-14.1185
5.95157,0.0644006,2.15149,-78.3494,-15.2313
5.96903,0.0661935,2.0862,-79.7498,-16.4651
5.98648,0.067932,2.01974,-81.1144,-17.5215
6.00393,0.0696151,1.95215,-82.3905,-18.1583
6.02139,0.0712419,1.88349,-83.4963,-18.0184
6.03884,0.0728115,1.81391,-84.5584,-17.8381
6.05629,0.074323,1.74344,-85.5809,-17.5256
6.07375,0.0757759,1.67212,-86.5761,-17.1276
6.0912,0.0771694,1.59998,-87.4746,-16.4855
6.10865,0.0785027,1.52708,-88.2389,-15.5381
6.12611,0.0797752,1.45355,-88.9518,-14.5395
6.14356,0.0809865,1.37942,-89.6285,-13.4771
6.16101,0.082136,1.30473,-90.2716,-12.3413
6.17847,0.0832233,1.22951,-90.8056,-11.133
6.19592,0.0842479,1.15384,-91.2442,-9.81229
6.21337,0.0852094,1.0778,-91.6397,-8.47289
6.23083,0.0861076,1.00143,-91.997,-7.09008
6.24828,0.0869421,0.924768,-92.308,-5.64775
6.26573,0.0877128,0.847844,-92.4912,-4.38935
