Azimuth Angle,Radius Location,Drag_X,Drag_Y,Drag_Z,Drag_Mag
0.471239,5.69976,9.74925,-19.1048,-1.86708,21.5297
0.471239,6.37032,12.2423,-23.993,-2.16414,27.0226
0.488692,0.33528,3.04357,-5.61135,-7.0662,9.52269
0.488692,1.00584,3.50778,-6.55149,-2.86164,7.96339
0.488692,1.6764,0.901429,-1.68799,-0.460595,1.96826
0.488692,2.34696,1.60968,-3.0176,-0.611574,3.47433
0.488692,3.01752,2.66212,-4.99368,-0.817395,5.71768
0.488692,3.68808,4.04706,-7.59458,-1.05477,8.67
0.488692,4.35864,5.77234,-10.8351,-1.31881,12.3474
0.488692,5.0292,7.81049,-14.6639,-1.60023,16.6911
0.488692,5.69976,10.0822,-18.9317,-1.88373,21.5316
0.488692,6.37032,12.6601,-23.7752,-2.18501,27.0243
0.506145,0.33528,3.14255,-5.55393,-7.06855,9.52292
0.506145,1.00584,3.62185,-6.4872,-2.86669,7.96364
0.506145,1.6764,0.931045,-1.67211,-0.462119,1.96884
0.506145,2.34696,1.66255,-2.98929,-0.614275,3.47524
0.506145,3.01752,2.74947,-4.94676,-0.821818,5.71887
0.506145,3.68808,4.17974,-7.52312,-1.06145,8.67146
0.506145,4.35864,5.96143,-10.733,-1.3283,12.3491
0.506145,5.0292,8.06613,-14.5254,-1.61302,16.6928
0.506145,5.69976,10.412,-18.7528,-1.90023,21.5334
0.506145,6.37032,13.074,-23.5501,-2.20568,27.026
0.523599,0.33528,3.24054,-5.49472,-7.07086,9.52314
0.523599,1.00584,3.73479,-6.4209,-2.87168,7.96386
0.523599,1.6764,0.960385,-1.65569,-0.463628,1.96942
0.523599,2.34696,1.71493,-2.96005,-0.616951,3.47613
0.523599,3.01752,2.836,-4.89831,-0.826198,5.72005
0.523599,3.68808,4.31116,-7.44932,-1.06807,8.6729
0.523599,4.35864,6.14874,-10.6276,-1.3377,12.3508
0.523599,5.0292,8.31934,-14.3824,-1.6257,16.6945
0.523599,5.69976,10.7388,-18.5681,-1.91657,21.5353
0.523599,6.37032,13.484,-23.3178,-2.22615,27.0277
0.541052,0.33528,3.33752,-5.43376,-7.07313,9.52333
