Azimuth Angle,Radius Location,Cl,Cd,Cm,AoA,Mach
0.383972,2.34696,-0.00763068,0.0111311,-0.00884074,-0.021648,0.146669
0.383972,3.01752,0.213929,0.0112024,-0.00845878,0.0119001,0.187585
0.383972,3.68808,0.355568,0.0114373,-0.0082251,0.0334186,0.228636
0.383972,4.35864,0.453482,0.0117031,-0.0080109,0.0483815,0.269761
0.383972,5.0292,0.527709,0.0119105,-0.00777844,0.059384,0.310931
0.383972,5.69976,0.593732,0.0119809,-0.00743508,0.0678127,0.352129
0.383972,6.37032,0.6496,0.0120526,-0.00697256,0.0744754,0.393347
0.401426,0.33528,-0.742687,0.695832,0.166711,-0.682879,0.0307337
0.401426,1.00584,-0.540343,0.125137,0.0296127,-0.212662,0.0662725
0.401426,1.6764,-0.396004,0.0120591,-0.0107045,-0.080996,0.106065
0.401426,2.34696,-0.00762955,0.0111311,-0.00884073,-0.0216478,0.146689
0.401426,3.01752,0.213875,0.0112024,-0.00845886,0.0118919,0.187606
0.401426,3.68808,0.355486,0.0114372,-0.00822524,0.0334061,0.228658
0.401426,4.35864,0.453382,0.0117028,-0.00801112,0.0483663,0.269783
0.401426,5.0292,0.527605,0.01191,-0.00777878,0.0593671,0.310953
0.401426,5.69976,0.593618,0.0119803,-0.00743552,0.0677946,0.352152
0.401426,6.37032,0.649479,0.0120519,-0.00697342,0.0744565,0.39337
0.418879,0.33528,-0.742729,0.695304,0.166584,-0.682462,0.0307459
0.418879,1.00584,-0.540416,0.125076,0.029611,-0.212583,0.06629
0.418879,1.6764,-0.395881,0.0120585,-0.0107035,-0.0809768,0.106084
0.418879,2.34696,-0.00762691,0.0111311,-0.00884073,-0.0216474,0.146709
0.418879,3.01752,0.213823,0.0112023,-0.00845894,0.011884,0.187626
0.418879,3.68808,0.355405,0.011437,-0.00822538,0.0333938,0.228679
0.418879,4.35864,0.453285,0.0117025,-0.00801134,0.0483514,0.269805
0.418879,5.0292,0.527501,0.0119095,-0.00777911,0.0593504,0.310975
0.418879,5.69976,0.593506,0.0119798,-0.00743596,0.0677768,0.352175
0.418879,6.37032,0.649361,0.0120512,-0.00697427,0.0744378,0.393394
0.436332,0.33528,-0.74277,0.694779,0.166459,-0.682048,0.030758
0.436332,1.00584,-0.540488,0.125016,0.0296093,-0.212505,0.0663075
0.436332,1.6764,-0.395756,0.012058,-0.0107025,-0.0809575,0.106102
0.436332,2.34696,-0.00762281,0.0111311,-0.00884072,-0.0216468,0.146728
0.436332,3.01752,0.213772,0.0112023,-0.00845901,0.0118764,0.187646
0.436332,3.68808,0.355326,0.0114369,-0.00822552,0.0333818,0.2287
0.436332,4.35864,0.453189,0.0117023,-0.00801156,0.0483367,0.269826
0.436332,5.0292,0.5274,0.011909,-0.00777943,0.059334,0.310997
0.436332,5.69976,0.593395,0.0119793,-0.00743639,0.0677592,0.352197
0.436332,6.37032,0.649244,0.0120505,-0.0069751,0.0744193,0.393417
0.453786,0.33528,-0.742811,0.694258,0.166334,-0.681638,0.03077
0.453786,1.00584,-0.540561,0.124955,0.0296076,-0.212427,0.0663248
0.453786,1.6764,-0.39563,0.0120574,-0.0107014,-0.0809381,0.106121
0.453786,2.34696,-0.00761728,0.0111311,-0.0088407,-0.021646,0.146748
0.453786,3.01752,0.213724,0.0112022,-0.00845909,0.011869,0.187667
0.453786,3.68808,0.355248,0.0114367,-0.00822565,0.03337,0.22872
0.453786,4.35864,0.453095,0.011702,-0.00801177,0.0483223,0.269848
0.453786,5.0292,0.5273,0.0119086,-0.00777975,0.0593179,0.31102
0.453786,5.69976,0.593286,0.0119787,-0.00743682,0.0677419,0.35222
0.453786,6.37032,0.649129,0.0120498,-0.00697592,0.0744012,0.393441
0.471239,0.33528,-0.742852,0.693742,0.16621,-0.68123,0.0307819
0.471239,1.00584,-0.540633,0.124895,0.0296059,-0.21235,0.066342
0.471239,1.6764,-0.395504,0.0120569,-0.0107004,-0.0809185,0.10614
0.471239,2.34696,-0.00761037,0.0111311,-0.00884069,-0.0216449,0.146767
0.471239,3.01752,0.213676,0.0112022,-0.00845916,0.0118619,0.187687
0.471239,3.68808,0.355173,0.0114366,-0.00822578,0.0333585,0.228741
0.471239,4.35864,0.453002,0.0117017,-0.00801197,0.0483082,0.269869
0.471239,5.0292,0.527202,0.0119081,-0.00778006,0.059302,0.311042
0.471239,5.69976,0.593179,0.0119782,-0.00743723,0.0677248,0.352243
0.471239,6.37032,0.649016,0.0120491,-0.00697672,0.0743832,0.393464
0.488692,0.33528,-0.742893,0.693229,0.166088,-0.680826,0.0307936
0.488692,1.00584,-0.540705,0.124835,0.0296042,-0.212273,0.066359
0.488692,1.6764,-0.395377,0.0120563,-0.0106994,-0.0808989,0.106158
