Azimuth Angle,Radius Location,Lift_X,Lift_Y,Lift_Z,Lift_Mag
0.558505,4.35864,0,58.5783,898.901,900.808
0.558505,5.0292,0,71.4994,1132.22,1134.48
0.558505,5.69976,0,86.1933,1400.69,1403.34
0.558505,6.37032,0,103.196,1713.76,1716.87
0.575959,0.33528,0,10.6169,91.1463,91.7626
0.575959,1.00584,0,15.6103,168.393,169.115
0.575959,1.6764,0,21.5127,266.581,267.447
0.575959,2.34696,0,28.3401,385.788,386.828
0.575959,3.01752,0,36.0968,526.044,527.282
0.575959,3.68808,0,44.7729,687.184,688.641
0.575959,4.35864,0,55.19,882.319,884.043
0.575959,5.0292,0,67.1258,1109.08,1111.11
0.575959,5.69976,0,80.712,1370.3,1372.68
0.575959,6.37032,0,96.3825,1674.13,1676.9
0.593412,0.33528,0,10.5272,92.8633,93.4581
0.593412,1.00584,0,15.2278,169.153,169.837
0.593412,1.6764,0,20.741,265.475,266.284
0.593412,2.34696,0,27.0916,382.026,382.985
0.593412,3.01752,0,34.2678,518.609,519.74
0.593412,3.68808,0,42.2785,675.331,676.653
0.593412,4.35864,0,51.9306,865.634,867.191
0.593412,5.0292,0,62.9312,1085.88,1087.7
0.593412,5.69976,0,75.4642,1339.89,1342.01
0.593412,6.37032,0,89.8722,1634.54,1637.01
0.610865,0.33528,0,10.4273,94.5089,95.0824
0.610865,1.00584,0,14.8425,169.802,170.45
0.610865,1.6764,0,19.9807,264.24,264.995
0.610865,2.34696,0,25.8701,378.061,378.946
0.610865,3.01752,0,32.4978,511.055,512.087
0.610865,3.68808,0,39.8765,663.389,664.586
0.610865,4.35864,0,48.7998,848.871,850.273
0.610865,5.0292,0,58.9141,1062.65,1064.28
0.610865,5.69976,0,70.4475,1309.49,1311.38
0.610865,6.37032,0,83.6616,1595.06,1597.25
0.628319,0.33528,0,10.3182,96.0828,96.6352
0.628319,1.00584,0,14.4506,170.288,170.9
0.628319,1.6764,0,19.233,262.882,263.585
0.628319,2.34696,0,24.6786,373.929,374.743
0.628319,3.01752,0,30.7876,503.395,504.335
0.628319,3.68808,0,37.567,651.376,652.459
0.628319,4.35864,0,45.7971,832.054,833.313
0.628319,5.0292,0,55.0729,1039.43,1040.89
0.628319,5.69976,0,65.6522,1278.99,1280.68
0.628319,6.37032,0,77.7291,1555.37,1557.31
0.645772,0.33528,0,10.1997,97.5768,98.1084
0.645772,1.00584,0,14.0585,170.669,171.247
0.645772,1.6764,0,18.4991,261.408,262.062
0.645772,2.34696,0,23.5213,369.685,370.433
0.645772,3.01752,0,29.1376,495.645,496.501
0.645772,3.68808,0,35.3497,639.314,640.291
0.645772,4.35864,0,42.9217,815.207,816.336
0.645772,5.0292,0,51.3954,1016.04,1017.34
0.645772,5.69976,0,61.0744,1248.41,1249.9
0.645772,6.37032,0,72.0889,1515.86,1517.57
0.663225,0.33528,0,10.0703,98.9662,99.4772
0.663225,1.00584,0,13.6672,170.95,171.496
0.663225,1.6764,0,17.7768,259.778,260.385
0.663225,2.34696,0,22.399,365.341,366.027
0.663225,3.01752,0,27.5482,487.822,488.599
0.663225,3.68808,0,33.2242,627.221,628.1
0.663225,4.35864,0,40.1629,798.165,799.174
0.663225,5.0292,0,47.8876,992.659,993.814
0.663225,5.69976,0,56.7203,1217.96,1219.28
0.663225,6.37032,0,66.7359,1476.59,1478.1
0.680678,0.33528,0,9.93419,100.283,100.774
0.680678,1.00584,0,13.2778,171.135,171.649
0.680678,1.6764,0,17.0688,258.02,258.584
0.680678,2.34696,0,21.3125,360.906,361.535
0.680678,3.01752,0,26.0196,479.939,480.644
0.680678,3.68808,0,31.2017,615.349,616.14
0.680678,4.35864,0,37.5288,781.123,782.024
0.680678,5.0292,0,44.55,969.374,970.398
0.680678,5.69976,0,52.5858,1187.67,1188.84
0.680678,6.37032,0,61.664,1437.61,1438.93
0.698132,0.33528,0,9.79217,101.529,102
0.698132,1.00584,0,12.8914,171.228,171.712
0.698132,1.6764,0,16.3779,256.167,256.69
0.698132,2.34696,0,20.2622,356.394,356.97
0.698132,3.01752,0,24.5504,471.991,472.629
0.698132,3.68808,0,29.2712,603.546,604.255
0.698132,4.35864,0,35.0187,764.127,764.929
0.698132,5.0292,0,41.3795,946.219,947.123
0.698132,5.69976,0,48.6663,1157.59,1158.61
0.698132,6.37032,0,56.8666,1398.95,1400.11
0.715585,0.33528,0,9.64509,102.704,103.156
0.715585,1.00584,0,12.5087,171.233,171.69
0.715585,1.6764,0,15.7049,254.228,254.712
0.715585,2.34696,0,19.2486,351.816,352.342
0.715585,3.01752,0,23.1369,463.918,464.494
0.715585,3.68808,0,27.4273,591.746,592.381
0.715585,4.35864,0,32.6306,747.204,747.916
0.715585,5.0292,0,38.3727,923.223,924.02
0.715585,5.69976,0,44.9569,1127.75,1128.65
0.715585,6.37032,0,52.3368,1360.67,1361.67
0.733038,0.33528,0,9.49375,103.81,104.243
0.733038,1.00584,0,12.1308,171.156,171.585
