Azimuth Angle,Radius Location,Moment_X,Moment_Y,Moment_Z,Moment_Mag
0.645772,4.35864,1961.19,-2640.71,-320.923,3304.94
0.645772,5.0292,2862.66,-3854.86,-471.135,4824.59
0.645772,5.69976,4030.79,-5428.14,-665.798,6793.77
0.645772,6.37032,5516.69,-7429.39,-913.158,9298.58
0.663225,0.33528,8.36846,-10.8425,-1.15557,13.7451
0.663225,1.00584,69.2031,-89.7231,-10.0891,113.759
0.663225,1.6764,205.919,-267.122,-31.2932,338.727
0.663225,2.34696,438.857,-569.546,-68.8963,722.305
0.663225,3.01752,788.73,-1023.97,-126.995,1298.74
0.663225,3.68808,1276.13,-1657.21,-209.697,2102.1
0.663225,4.35864,1960.71,-2546.49,-324.505,3230.22
0.663225,5.0292,2856.43,-3710.1,-475.214,4706.37
0.663225,5.69976,4017.23,-5218.05,-670.426,6619.34
0.663225,6.37032,5490.55,-7131.95,-917.886,9047.28
0.680678,0.33528,8.82183,-11.032,-1.26827,14.1823
0.680678,1.00584,70.822,-88.6065,-10.5599,113.923
0.680678,1.6764,208.581,-261.084,-32.2488,335.725
0.680678,2.34696,441.996,-553.477,-70.3936,711.795
0.680678,3.01752,791.244,-991.141,-129.03,1274.78
0.680678,3.68808,1276.94,-1599.99,-212.291,2058.06
0.680678,4.35864,1957.65,-2453.13,-327.555,3155.55
0.680678,5.0292,2846.5,-3567.18,-478.498,4588.71
0.680678,5.69976,3998.39,-5010.9,-673.92,6445.96
0.680678,6.37032,5457.15,-6839.21,-921.048,8797.93
0.698132,0.33528,9.26917,-11.1901,-1.38,14.5959
0.698132,1.00584,72.3663,-87.3887,-11.0164,113.996
0.698132,1.6764,211.004,-254.913,-33.1564,332.57
0.698132,2.34696,444.611,-537.333,-71.783,701.112
0.698132,3.01752,792.765,-958.394,-130.869,1250.65
0.698132,3.68808,1276.37,-1543.44,-214.585,2014.3
0.698132,4.35864,1952.16,-2360.83,-330.088,3081.14
0.698132,5.0292,2833.01,-3426.29,-481.022,4471.78
0.698132,5.69976,3974.5,-4806.98,-676.33,6273.84
0.698132,6.37032,5416.83,-6551.52,-922.716,8550.78
0.715585,0.33528,9.70952,-11.3177,-1.49051,14.9862
0.715585,1.00584,73.8347,-86.0764,-11.4581,113.982
0.715585,1.6764,213.188,-248.627,-34.0159,329.275
0.715585,2.34696,446.715,-521.152,-73.0669,690.284
0.715585,3.01752,793.172,-925.617,-132.527,1226.15
0.715585,3.68808,1274.29,-1487.43,-216.559,1970.58
0.715585,4.35864,1944.34,-2269.74,-332.126,3007.07
0.715585,5.0292,2816.14,-3287.61,-482.819,4355.7
0.715585,5.69976,3945.81,-4606.52,-677.708,6103.18
0.715585,6.37032,5369.97,-6269.22,-922.968,8306.11
0.733038,0.33528,10.142,-11.4158,-1.59959,15.3538
0.733038,1.00584,75.2267,-84.6766,-11.8847,113.888
0.733038,1.6764,215.139,-242.244,-34.828,325.853
0.733038,2.34696,448.324,-504.967,-74.2476,679.337
0.733038,3.01752,792.688,-893.097,-133.997,1201.64
0.733038,3.68808,1270.76,-1432.05,-218.226,1926.97
0.733038,4.35864,1934.32,-2179.98,-333.691,2933.47
0.733038,5.0292,2796.08,-3151.32,-483.927,4240.65
0.733038,5.69976,3912.59,-4409.79,-678.108,5934.18
0.733038,6.37032,5316.94,-5992.63,-921.881,8064.2
0.750492,0.33528,10.5659,-11.4853,-1.70702,15.6992
0.750492,1.00584,76.5251,-83.1783,-12.297,113.692
0.750492,1.6764,216.862,-235.783,-35.593,322.319
0.750492,2.34696,449.338,-488.688,-75.3357,668.129
0.750492,3.01752,791.354,-860.891,-135.285,1177.15
