Azimuth Angle,Radius Location,Cl,Cd,Cm,AoA,Mach
0.349066,3.01752,0.824072,0.0135228,-0.00622549,0.106204,0.225282
0.349066,3.68808,0.802846,0.0133743,-0.00639226,0.102816,0.26642
0.349066,4.35864,0.789954,0.0132573,-0.00640633,0.100334,0.30756
0.349066,5.0292,0.79286,0.0130777,-0.00601799,0.0984379,0.348702
0.349066,5.69976,0.797926,0.0129099,-0.00565101,0.0969419,0.389845
0.349066,6.37032,0.810447,0.0128754,-0.00454316,0.0957316,0.430988
0.366519,0.33528,1.15251,0.0170589,-0.00188931,0.160983,0.0627554
0.366519,1.00584,0.965948,0.0147402,-0.00476548,0.129276,0.10383
0.366519,1.6764,0.881996,0.0139826,-0.00568602,0.115551,0.144949
0.366519,2.34696,0.834536,0.0136059,-0.00612803,0.107893,0.186083
0.366519,3.01752,0.804056,0.0133819,-0.0063841,0.103007,0.227225
0.366519,3.68808,0.782657,0.0132475,-0.00652838,0.09962,0.26837
0.366519,4.35864,0.770363,0.0131245,-0.00652869,0.0971333,0.309518
0.366519,5.0292,0.772812,0.01294,-0.00618401,0.0952302,0.350667
0.366519,5.69976,0.77742,0.0127673,-0.00586068,0.0937268,0.391817
0.366519,6.37032,0.789661,0.0127283,-0.00481848,0.0925092,0.432968
0.383972,0.33528,1.12752,0.0166476,-0.00239212,0.156543,0.0646564
0.383972,1.00584,0.945203,0.0145314,-0.00502571,0.125843,0.10574
0.383972,1.6764,0.862027,0.0138241,-0.005872,0.112329,0.146867
0.383972,2.34696,0.814927,0.0134503,-0.00631066,0.104728,0.188009
0.383972,3.01752,0.784156,0.013257,-0.00651827,0.0998574,0.229159
0.383972,3.68808,0.762754,0.0131226,-0.00666257,0.0964695,0.270312
0.383972,4.35864,0.751012,0.012993,-0.00665309,0.0939769,0.311467
0.383972,5.0292,0.753005,0.0128036,-0.00635155,0.0920661,0.352624
0.383972,5.69976,0.757157,0.012626,-0.00607133,0.0905548,0.393782
0.383972,6.37032,0.7691,0.0125819,-0.00510186,0.0893295,0.43494
0.401426,0.33528,1.1024,0.0163235,-0.00279504,0.152254,0.0665451
0.401426,1.00584,0.924874,0.0143268,-0.00528072,0.122478,0.107638
0.401426,1.6764,0.842395,0.0136683,-0.00605484,0.109161,0.148774
0.401426,2.34696,0.795252,0.0133266,-0.00644346,0.101614,0.189924
0.401426,3.01752,0.764557,0.0131339,-0.00665042,0.0967548,0.231082
